Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-04-22,Resurrection,2014,,3,,,2019-05-01
2020-04-22,Prada: Candy,2013,,3.5,,,2020-01-01
2021-04-25,Save Ralph,2021,,4,,,2021-04-24
2022-03-14,Midnight at the Pera Palace,2022,,1,,,2022-03-04
