Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-06-17,Oregon,2023,https://boxd.it/a1Zy7V,1.5,,kerem ayan o kadar festival filmleri görmüş etmiş ve gitmiş bu filmi çekmiş. moralim bozuktu karşıma çıkan ilk filmi izledim kötü düşünceler kötü bir filmi çekiyormuş demek ,,2025-06-17
2025-06-26,Terminator 2: Judgment Day,1991,https://boxd.it/a7zOHn,5,Yes,This is the finest action movie of all time...,,2025-06-25
2025-06-30,F1,2025,https://boxd.it/aae0Zr,4,,"sadece F1 filmi olması bile sevmem için bir nedendi ama filmde Sonny Hayes karakterinde bazı konularda kendimi bulduğum için extra sevdim. sevmediğim birkaç nokta vardı ama filmin seyir zevkini asla etkilemediler, tabii sevmediğim noktalar daha iyi olsaydı RUSH kalitesinde bir yapım olabilirdi. veee bazı anlarda gaza gelirken aklımdan dart geçti... F1 ve dartı bir araya getirdiğim için kendimi de tebrik ediyorum... ",,2025-06-29
2025-07-07,28 Days Later,2002,https://boxd.it/aeYEBx,4.5,,küçükken izlediğimde çok beğenmiştim ve tekrardan izleyince düşüncem değişmedi... ve şarkılarına bayılıyorum... ,,2025-07-04
2025-07-17,Superman,2025,https://boxd.it/amqHaX,4,,"superman'i izlemeye bayılıyorum, yeri geldi güldüm yeri geldi gözlerim 
doldu ve sinemadan ayrılırken bu filmi bir daha izlemek istiyorum diye bağırdım içimden, teşekkürler james gunn...  ama şu gerçeği de unutmamak gerekiyor.

Man of Steel > Superman ",,2025-07-13
2025-07-22,Pulp Fiction,1994,https://boxd.it/aqraDZ,5,Yes,21 temmuz 2025 yılında açık havada izledim ve kendi içimde konuşarak filmi izledim... ilerde kararım elbet değişebilir ama filmin yarısında aklıma gelen ilk şey bu film dünyanın en iyi filmi....,,2025-07-21
2025-07-25,I Am Legend,2007,https://boxd.it/asJ5DT,4,Yes,ilk bir saat o kadar güzel ki keşke devamı da aynı şekilde devam etseydi. ,,2025-07-24
2025-07-29,National Theatre Live: Dr. Strangelove,2025,https://boxd.it/awDtlD,3.5,,başlarda oyuncular rollerine alışamamış gibiydi ya da ben filmdeki oyuncuları görmek istiyordum. yavaş yavaş temposu ve oyunculukları iyi olmaya başladı ondan sonra da bol bol gülerek izledim. filmden direkt olarak aldıkları repliklerde vardı ama belli yerleri tiyatronun getirmiş olduğu kısıtlamalar yüzünden değiştirilmiş. izlerken keyif alsam bile filmini izlemeyi tercih ederdim...,,2025-07-28
2025-07-31,Together,2025,https://boxd.it/axSi4Z,4,,güzel bir fikir(çalıntı olma durumu varmış) ile birlikte iyi başlangıç yapıyor. başlarda çok korkarım diye düşünüyordum gerçi bazı yerlerde korktum. sonuna kadar temposunu gerçekten iyi ve hiç sıkılmadım. sonunu  daha farklı yapsalardı belki de dedikleri gibi yılın en iyi korku filmi olabilirdi....,,2025-07-30
2025-08-05,Little Fish,2020,https://boxd.it/aBW4l7,4,,"""sana hayatımın aşkı olduğunu çünkü beni her gün güldürdüğünü ve hayatımı yaşamaya değer kıldığını, bana kendimi yalnız hissettirmediğini söylemek istedim."" ( bir gün birine bu repliği içtenlikle demek istiyorum.)


",,2025-08-04
2025-08-08,Cars,2006,https://boxd.it/aEoJhf,5,Yes,izlemekten asla ama asla sıkılmayacağımmmm ,,2025-08-08
2025-08-20,Back to the Future,1985,https://boxd.it/aNhaVV,5,Yes,hasta olduğum zamanlar izlerim ve ne sıklıkla hasta olduğumu da bilmiş oluyorum böylelikle ,,2025-08-19
2025-08-21,Dear Santa,2024,https://boxd.it/aOeOXb,1,,ben bir hata yapıp izledim...,,2025-08-21
2025-08-22,Inglourious Basterds,2009,https://boxd.it/aOTwtJ,5,Yes,"benim için çooook özel bir filmdi ve dün çooooooooooooo+∞k daha özel bir film oldu.... 

",,2025-08-21
2025-09-23,Hard Eight,1996,https://boxd.it/b9k4aj,4,,26 yaşında bu filmi çekmek... eğer bir gün kendi filmimi çekecek imkanı bulursam buradan çalacağım birkaç sahne var ,,2025-09-22
2025-09-29,Magnolia,1999,https://boxd.it/bcAvXr,5,,"nasıl hissedeceğimi şaşırmış bir haldeyim... 

çok çok uzun bir aradan sonra, bir film en iyi 10 film listemi değiştirdi...",,2025-09-28
2025-10-06,One Battle After Another,2025,https://boxd.it/bhinHJ,5,,"arada sırada, bir film çıkar ve birdenbire o yıl izlediğiniz diğer tüm filmler... daha önemsiz gelir. One Battle After Another da öyle bir film. PTA sürekli beni şaşırtacak yeni yollar buluyor. en kısa zamanda tekrar görüşmek üzere One Battle After Another...


---Viva la Revolución!---

Sensei Sergio St. Carlos: You know what freedom is?
Bob: What?
Sensei Sergio St. Carlos: No fear. Just like Tom fucking Cruise.",,2025-10-05
2025-10-27,Lucky Numbers,2000,https://boxd.it/bv4F31,1,,John Travolta ve Lisa Kudrow'u görünce keyif alacağım bir film olur diye düşünmüştüm... ,,2025-10-24
2026-07-03,Head-On,2004,https://boxd.it/f2NmEN,5,,"bu zamana kadar neden izlemedim diye düşüyordum filme girerken... film bittiğinde anladım ki her filmin bir zamanı varmış... bazen köşede beklerlermiş,  hayatımızda bir şey olduğunda bak ben buradayım seni daha çok üzeceğim diye ortaya çıkıyorlarmış...  

<blockquote>Sibel'le ilk karşılaştığımda ölüydüm ben. Onu tanımadan çok önce ölmüştüm. Sonra o geldi ve hayatıma girdi. Bana sevgi verdi. Ve bana güç verdi. Bunu anlıyor musun? </blockquote>buraya içimi dökmek istiyorum aslında ama burası doğru yer değil gibi... ama yinede umarım her birbirine aşık iki insan beraber çoooook mutlu yaşar...",,2026-07-02
2026-07-17,Flow,2024,https://boxd.it/fgAhhJ,5,,"Benim için kişisel bir film oldu... Şans eseri sinemada izlemeye gittim.. Eski sevgilim ""Flow'u izlediğim zaman sana aşık olduğumu fark ettim"" demişti.  Ve film başladığından bitene kadar bu cümle aklımdan çıkmadı. Hem ağlayarak hem gülerek izledim. Sanki onu son defa bilerek görüyormuş gibiydi.... Hayatım boyunca unutmayacağım duygular için teşekkür ederim.... 


if you're reading this i miss u",,2026-07-15
2026-07-25,The Odyssey,2026,https://boxd.it/fpxJil,5,,"sinemayı çoooook seviyorum... nolanı çoooook seviyorum.... 

hayatımdan bir parça bulduğum filmleri daha çooooook seviyorum....

I just want to come home",,2026-07-24
2026-07-28,Ice Age,2002,https://boxd.it/ftNCh9,3.5,Yes,"İngilizcemi geliştirmek için eskiden izlediğim animasyonları tekrar izlemeye başladım... nedense buz devriyi bir türlü çok sevemiyorum keyifli vakit geçiriyorum ama daha fazlası olmuyor. hep bir şeyler sanki eksik gibi.... 

",,2026-07-01
2026-07-28,Madagascar,2005,https://boxd.it/ftNRFZ,3.5,Yes,Buz devri gibi keyifli vakit geçiyor izlerken ama bir daha geri dönüp izleme isteği olmuyor... bence animasyon bile olsa bir film iyiyse devamlı izleme isteği oluşturması lazım ,,2026-07-03
2026-07-28,Toy Story,1995,https://boxd.it/ftOJn1,5,Yes,çok seviyorummm ,,2026-07-11
2026-07-28,Toy Story 2,1999,https://boxd.it/ftOMvH,5,Yes,çok seviyorummm ,,2026-07-12
2026-07-28,Toy Story 3,2010,https://boxd.it/ftONmB,5,Yes,çok seviyorummm ,,2026-07-13
2026-07-28,Toy Story 4,2019,https://boxd.it/ftOOfL,5,,çok seviyorummm ,,2026-07-14
2026-07-28,Toy Story 5,2026,https://boxd.it/ftOP6v,5,,çok seviyorummm ,,2026-07-15
2026-08-12,Mulholland Drive,2001,https://boxd.it/fMxykH,5,,"film hakkında düşüncelerim inanılmaz karışık.... uzun süre düşünmem gerekiyor.. 

ama onun en sevdiği filmdi... ve bu yüzden filmi izlerken biraz duygulanmış olabilirim... galiba filmleri ve şarkıları bu yüzden seviyorum... çünkü onları hep sevdiğimiz kişilerle özdeşleştiriyoruz...",,2026-08-11
